MIR770	MIRN770|hsa-mir-770	microRNA 770
CASKIN1	ANKS5A|KIAA1306	CASK interacting protein 1
PDLIM1	CLIM1|hCLIM1|CLP36|CLP-36	elfin|PDZ and LIM domain 1|carboxyl terminal LIM domain protein 1
CCDC117	FLJ33814	coiled-coil domain containing 117
TRBJ2-1	TRBJ21|TCRBJ2S1	T cell receptor beta joining 2-1
MIR517A	MIRN517A|hsa-mir-517a	microRNA 517a
SLC25A24	APC1|DKFZp586G0123	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 24
JAKMIP2	JAMIP2|KIAA0555	janus kinase and microtubule interacting protein 2
DCP1A	HSA275986|SMIF|SMAD4IP1	decapping mRNA 1A|DCP1 decapping enzyme homolog A (S. cerevisiae)
PTRF	CAVIN1|cavin-1	polymerase I and transcript release factor
ASXL2	FLJ10898|KIAA1685|ASXH2	additional sex combs like 2 (Drosophila)
OR2X1P		olfactory receptor, family 2, subfamily X, member 1 pseudogene
TYW1	FLJ10900|MGC60291|RSAFD1|MGC23001|YPL207W|TYW1A	tRNA-yW synthesizing protein 1 homolog A (S. cerevisiae)|tRNA-yW synthesizing protein 1 homolog (S. cerevisiae)
TTI2	C8orf41|FLJ23263	TELO2 interacting protein 2
CASP8	MCH5|MACH|FLICE|Casp-8	caspase 8, apoptosis-related cysteine peptidase
NUP35	MP44	nucleoporin 35kDa
MIR3912	hsa-mir-3912	microRNA 3912
FAM138E	F379	family with sequence similarity 138, member E
RABEP2	FLJ23282|FRA	rabaptin, RAB GTPase binding effector protein 2
PCNPP5		PEST containing nuclear protein pseudogene 5
RNU6-1151P		RNA, U6 small nuclear 1151, pseudogene
TLR8	CD288	toll-like receptor 8
RN7SL583P		RNA, 7SL, cytoplasmic 583, pseudogene
CAP1P2		CAP1 pseudogene 2
RPS2P6		ribosomal protein S2 pseudogene 6
STARD4-AS1		STARD4 antisense RNA 1
DYTN		dystrotelin
ZDHHC1	ZNF377|C16orf1|HSU90653	zinc finger, DHHC-type containing 1
NDUFB8P1		NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 8, pseudogene 1
ANKS3	KIAA1977|FLJ32767|FLJ32345	ankyrin repeat and sterile alpha motif domain containing 3
RERG	MGC15754	RAS-like, estrogen-regulated, growth inhibitor
PPP4R2		protein phosphatase 4, regulatory subunit 2
REPS2	POB1	RALBP1 associated Eps domain containing 2
TRBV6-3	TCRBV6S3|TRBV63|TCRBV13S9/13S2A1T	T cell receptor beta variable 6-3
SFTPA1	SP-A1|COLEC4|SP-A|SFTP1	surfactant protein A1|surfactant, pulmonary-associated protein A1A
LRRC42	MGC8974	leucine rich repeat containing 42
VPS53	FLJ10979|HCCS1	vacuolar protein sorting 53 homolog (S. cerevisiae)
BBS4		Bardet-Biedl syndrome 4
SLC25A12	Aralar	solute carrier family 25 (aspartate/glutamate carrier), member 12
USP41		ubiquitin specific peptidase 41
OR7E126P	hg500|OR11-1	olfactory receptor, family 7, subfamily E, member 126 pseudogene
ATP9B	ATPIIB	ATPase, class II, type 9B
ZNF720		zinc finger protein 720
CCDC12	MGC23918	coiled-coil domain containing 12
LINC01075		long intergenic non-protein coding RNA 1075
POLR3GP1		
FAM205CP		family with sequence similarity 205, member C, pseudogene
LINC01048		long intergenic non-protein coding RNA 1048
TBC1D22A	C22orf4	TBC1 domain family, member 22A
ATP8B5P	FetA	ATPase, class I, type 8B, member 5, pseudogene
RPL38P1		ribosomal protein L38 pseudogene 1
NCK2	NCKbeta	NCK adaptor protein 2
MIR5004	hsa-mir-5004	microRNA 5004
SSFA2	KIAA1927|CS-1|KRAP|SPAG13	KRAS-induced actin-interacting protein|cleavage signal-1 protein|sperm associated antigen 13|sperm specific antigen 2
AHSA2	DKFZp564C236|Hch1	AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)
MRPS31P1		mitochondrial ribosomal protein S31 pseudogene 1
VN2R2P		vomeronasal 2 receptor 2 pseudogene
CETN1	CEN1|CETN	centrin, EF-hand protein, 1
PIP	GCDFP-15|GCDFP15|GPIP4	prolactin-inducible protein|prolactin-induced protein
NM		neutrophil migration
PGAM1P11		phosphoglycerate mutase 1 pseudogene 11
RPL19P19		ribosomal protein L19 pseudogene 19
NCOA6	KIAA0181|PRIP|ASC2|AIB3|NRC|TRBP|RAP250	activating signal cointegrator-2|nuclear receptor coactivator RAP250|nuclear receptor coactivator 6|peroxisome proliferator-activated receptor interacting protein
SPATA3-AS1		SPATA3 antisense RNA 1 (head to head)
PANX3	Px3	pannexin 3
DAB2	DOC-2	Dab, mitogen-responsive phosphoprotein, homolog 2 (Drosophila)
DUSP27		dual specificity phosphatase 27 (putative)
TBL1XR1	DC42|C21|TBLR1|IRA1|FLJ12894	transducin (beta)-like 1 X-linked receptor 1
LINC00268	NCRNA00268|NCRNA00268A|NCRNA00268-1	long intergenic non-protein coding RNA 268
RN7SKP175		RNA, 7SK small nuclear pseudogene 175
RNA5SP219	RN5S219	RNA, 5S ribosomal pseudogene 219
OR1K1	MNAB|hg99	olfactory receptor, family 1, subfamily K, member 1
ZC3H8	ZC3HDC8|Fliz1	zinc finger CCCH-type containing 8
RPL28	L28|FLJ43307	ribosomal protein L28|60S ribosomal protein L28
DFNA63		deafness, autosomal dominant 63
RBM28	FLJ10377	RNA binding motif protein 28
RNY3P5		RNA, Ro-associated Y3 pseudogene 5
TBX2-AS1		TBX2 antisense RNA 1
MIR466	hsa-mir-466	microRNA 466
OR9H1P		olfactory receptor, family 9, subfamily H, member 1 pseudogene
RNU6-467P		RNA, U6 small nuclear 467, pseudogene
CYCSP55	bA513I15.3|HCP15|CYCSL1	cytochrome c, somatic pseudogene 55
RNU6-77P	RNU6-77	RNA, U6 small nuclear 77, pseudogene
MIR3943	hsa-mir-3943	microRNA 3943
TRGV11	TCRGV11|V4P	T-cell receptor, gamma, variable region V11|T cell receptor gamma variable 11 (non-functional)
ADAMTS7P4		ADAMTS7 pseudogene 4
FNTBL1		farnesyltransferase, CAAX box, beta-like 1
RNA5SP212	RN5S212	RNA, 5S ribosomal pseudogene 212
BPIFC	BPIL2|dJ149A16.7	BPI fold containing family C
RPS4XP21	RPS4P21	ribosomal protein S4X pseudogene 21
CFB	BFD|H2-Bf|BF	complement factor B
RPL36AP47		ribosomal protein L36a pseudogene 47
SLC9A1	PPP1R143|NHE1|APNH	solute carrier family 9, subfamily A (NHE1, cation proton antiporter 1), member 1
IGHV1-2	V35	immunoglobulin heavy variable 1-2
ATP5F1P7		ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1 pseudogene 7
RNFT1P3		ring finger protein, transmembrane 1 pseudogene 3
HTR5AOS	HTR5A-AS1	HTR5A opposite strand
MIR6866	hsa-mir-6866	microRNA 6866
RN7SKP299		RNA, 7SK small nuclear pseudogene 299
C21orf49		chromosome 21 open reading frame 49
ZNF665	FLJ14345	zinc finger protein 665
POTEJ	POTE2beta	POTE ankyrin domain family, member J
DYNC2LI1	LIC3|DKFZP564A033|CGI-60|D2LIC	dynein, cytoplasmic 2, light intermediate chain 1
MRPL10	MRP-L10|MGC17973|RPML8|MRPL8|MRP-L8|L10MT	39S ribosomal protein L10, mitochondrial|mitochondrial ribosomal protein L10
LCP2	SLP76|SLP-76	76 kDa tyrosine phosphoprotein|lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)|SH2 domain-containing leukocyte protein of 76kD
MEX3A	RKHD4	mex-3 RNA binding family member A|mex-3 homolog A (C. elegans)
IGHV3-30-2		immunoglobulin heavy variable 3-30-2 (pseudogene)
RNU1-77P		RNA, U1 small nuclear 77, pseudogene
OR4N1P		olfactory receptor, family 4, subfamily N, member 1 pseudogene
UBR5	HYD|EDD1|DD5|EDD|KIAA0896	ubiquitin protein ligase E3 component n-recognin 5
RAB35	H-ray	RAB35, member RAS oncogene family
ERVPABLB-1	envR(b)	endogenous retrovirus group PABLB, member 1
RNU7-18P	U7.18|RNU7-142P	RNA, U7 small nuclear 18 pseudogene
RNA5SP333	RN5S333	RNA, 5S ribosomal pseudogene 333
CASP6	MCH2	caspase 6, apoptosis-related cysteine peptidase
MROH2B	HEATR7B2|DKFZp781F0822|FLJ40243	maestro heat-like repeat family member 2B
OR5B21		olfactory receptor, family 5, subfamily B, member 21
IGHV3-29		immunoglobulin heavy variable 3-29 (pseudogene)
PTPRG	RPTPG|PTPG	protein tyrosine phosphatase, receptor type, G
MAP2K4	SERK1|MEK4|JNKK1|MKK4|PRKMK4	mitogen-activated protein kinase kinase 4
MAP3K5	MEKK5|ASK1|MAPKKK5	apoptosis signal regulating kinase 1|mitogen-activated protein kinase kinase kinase 5
KIF25-AS1	HGC6.1.1|C6orf54|NCRNA00300	KIF25 antisense RNA 1
C1QC	C1QG	complement component 1, q subcomponent, C chain
HTR4	5-HT4	5-hydroxytryptamine (serotonin) receptor 4, G protein-coupled
OR6B2	OR6B2P	olfactory receptor, family 6, subfamily B, member 2
TRAPPC2P2	SEDLP2	trafficking protein particle complex 2 pseudogene 2
NEUROD2	NDRF|bHLHa1	neuronal differentiation 2
MIR4268	hsa-mir-4268	microRNA 4268
GOLGA6L22		golgin A6 family-like 22
EEF1A1P36		eukaryotic translation elongation factor 1 alpha 1 pseudogene 36
RN7SL352P		RNA, 7SL, cytoplasmic 352, pseudogene
MIR6770-2	hsa-mir-6770-2	microRNA 6770-2
RIPK4	ANKK2|DIK|RIP4|PKK|ANKRD3	PKC-delta-interacting protein kinase|protein kinase C-associated kinase|receptor-interacting serine-threonine kinase 4
RNU6-874P		RNA, U6 small nuclear 874, pseudogene
RPL15P22		ribosomal protein L15 pseudogene 22
CDADC1	NYD-SP15	cytidine and dCMP deaminase domain containing 1
RPL23AP18		ribosomal protein L23a pseudogene 18
MTND6P9		MT-ND6 pseudogene 9
C21orf20		chromosome 21 open reading frame 20
LOXL3		lysyl oxidase-like 3
RNF31	FLJ10111|FLJ23501|ZIBRA|HOIP	ring finger protein 31|HOIL-1-interacting protein
CCDC81	FLJ16339|FLJ23514	coiled-coil domain containing 81
A4GNT	alpha4GnT	alpha-1,4-N-acetylglucosaminyltransferase
PPP1R2P8		protein phosphatase 1, regulatory (inhibitor) subunit 2 pseudogene 8
KRT8P46		keratin 8 pseudogene 46
C1orf123	FLJ20580	chromosome 1 open reading frame 123
NACAP1	FKSG17	nascent-polypeptide-associated complex alpha polypeptide pseudogene 1
GPR63	PSP24(beta)|PSP24B	G protein-coupled receptor 63
GNPDA2	SB52	glucosamine-6-phosphate deaminase 2|glucosamine-6-phosphate isomerase
RASA1	p120GAP|p120RASGAP|RASA|GAP|CM-AVM	RAS p21 protein activator (GTPase activating protein) 1|capillary malformation-arteriovenous malformation
EPHB3	ETK2|Hek2|Tyro6	EPH receptor B3
WDR62	MCPH2|C19orf14|DKFZP434J046|FLJ33298	WD repeat domain 62|microcephaly, primary autosomal recessive 2
RGS7		regulator of G-protein signaling 7
PRND	dJ1068H6.4|DPL|DOPPEL|PrPLP	prion-like protein doppel|prion protein 2 (dublet)
RPL21P114		ribosomal protein L21 pseudogene 114
DCK		deoxycytidine kinase
RNU7-30P	U7.30	RNA, U7 small nuclear 30 pseudogene
RNU7-82P	U7.82	RNA, U7 small nuclear 82 pseudogene
LY6G6D	NG25|MEGT1|Ly6-D|G6D|LY6-D|C6orf23	lymphocyte antigen 6 complex, locus G6D
FAM154A	C9orf138|MGC35182	family with sequence similarity 154, member A
PSAT1P4		phosphoserine aminotransferase 1 pseudogene 4
DNAJC5G	FLJ40417|CSP-gamma	DnaJ (Hsp40) homolog, subfamily C, member 5 gamma
RNU6-832P		RNA, U6 small nuclear 832, pseudogene
KANK2	ANKRD25|MXRA3|KIAA1518	KN motif and ankyrin repeat domains 2
DHRS11	SDR24C1|MGC4172	short chain dehydrogenase/reductase family 24C, member 1|dehydrogenase/reductase (SDR family) member 11
TM4SF19		transmembrane 4 L six family member 19
LINC00485		long intergenic non-protein coding RNA 485
DCSTAMP	DC-STAMP|FIND|TM7SF4	Dendritic cells (DC)-specific transmembrane protein|IL-Four INDuced|dendrocyte expressed seven transmembrane protein
SPG9		spastic paraplegia 9 (autosomal dominant)
SLC10A5P1		SLC10A5 pseudogene 1
PIRC86		piwi-interacting RNA cluster 86
CYP19A1	ARO|CPV1|P-450AROM|CYAR|aromatase|ARO1|CYP19	cytochrome P450, family 19, subfamily A, polypeptide 1
RNU1-32P		RNA, U1 small nuclear 32, pseudogene
TTC37	KIAA0372	tetratricopeptide repeat domain 37
MIR4692	hsa-mir-4692	microRNA 4692
LMO2	RBTN2|TTG2|RHOM2|RBTNL1	LIM domain only 2 (rhombotin-like 1)|T-cell translocation gene 2|rhombotin-like 1
LAMB4		laminin, beta 4
BTNL2	HSBLMHC1|BTL-II|BTN7	butyrophilin-like 2 (MHC class II associated)
RPS13P2		ribosomal protein S13 pseudogene 2
TRI-AAT5-1	TRNAI15	transfer RNA isoleucine 15 (anticodon AAU)
IP6K3	IHPK3|INSP6K3	inositol hexakisphosphate kinase 3
ZSCAN16	dJ265C24.3|ZNF435|ZNF392|FLJ22191	zinc finger and SCAN domain containing 16
CHI3L2	YKL-39|YKL39	chitinase 3-like 2
AKR1B15		aldo-keto reductase family 1, member B15
UTP11L	CGI-94	UTP11-like, U3 small nucleolar ribonucleoprotein (yeast)|UTP11-like, U3 small nucleolar ribonucleoprotein, (yeast)
S1PR3	EDG3|EDG-3	sphingosine-1-phosphate receptor 3
MIR518A2	hsa-mir-518a-2|MIRN518A2|MIRN518A-2	microRNA 518a-2
COLEC11	MGC3279|CL-K1	collectin sub-family member 11
CDC42BPB	KIAA1124|MRCKB	CDC42 binding protein kinase beta (DMPK-like)
TTLL2	NYD-TSPG|dJ366N23.3|C6orf104	tubulin tyrosine ligase-like family, member 2
GEMIN8	FLJ20514|FAM51A1	gem (nuclear organelle) associated protein 8
EQTN	C9orf11|AFAF|equatorin|SPACA8	sperm acrosome associated 8|Acr formation associated factor|Acrosome formation associated factor|equatorin, sperm acrosome associated
DDX50P1		DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 50 pseudogene 1
IL22RA1	CRF2-9|IL22R	interleukin 22 receptor, alpha 1
EGFLAM-AS1		EGFLAM antisense RNA 1
PGBD1	dJ874C20.4|SCAND4|HUCEP-4	piggyBac transposable element derived 1
RPL21P31		ribosomal protein L21 pseudogene 31
TEAD3	ETFR-1|TEF-5|TEAD5	TEA domain family member 3
HSP90AA6P		heat shock protein 90kDa alpha (cytosolic), class A member 6, pseudogene
LYL1	bHLHa18	lymphoblastic leukemia derived sequence 1|lymphoblastic leukemia associated hematopoiesis regulator 1
RN7SL398P		RNA, 7SL, cytoplasmic 398, pseudogene
PLXNA3	6.3|Plxn3|XAP-6|PLXN4|SEX	plexin A3
FAM95A	DKFZp434H0923	family with sequence similarity 95, member A
RNU6-688P		RNA, U6 small nuclear 688, pseudogene
LINC00330	NCRNA00330	long intergenic non-protein coding RNA 330
CANX	IP90|CNX|P90	calnexin|major histocompatibility complex class I antigen-binding protein p88
DHRS4	SCAD-SRL|SDR-SRL|SDR25C2|FLJ11008|humNRDR	short chain dehydrogenase/reductase family 25C, member 2|dehydrogenase/reductase (SDR family) member 4
GIPC1	Hs.6454|SYNECTIN|SEMCAP|GLUT1CBP|NIP|GIPC|C19orf3|TIP-2|RGS19IP1	GIPC PDZ domain containing family, member 1
G6PD	G6PD1	glucose-6-phosphate dehydrogenase
RNU5A-2P		RNA, U5A small nuclear 2, pseudogene
RPS20P1	RPS20P	ribosomal protein S20 pseudogene 1
AKAP17A	SFRS17A|721P|XE7|MGC39904|DXYS155E|CXYorf3|XE7Y|CCDC133	A kinase (PRKA) anchor protein 17A
TRI-AAT10-1	TRNAI28P	transfer RNA isoleucine 28 (anticodon AAU) pseudogene
CLIP4	RSNL2|FLJ21069	CAP-GLY domain containing linker protein family, member 4
PHLDA3	TIH1	pleckstrin homology-like domain, family A, member 3|pleckstrin homology-like domain, family A, member 2
ARHGEF12	KIAA0382|LARG	Rho guanine nucleotide exchange factor (GEF) 12
RN7SL81P		RNA, 7SL, cytoplasmic 81, pseudogene
TOP1P1		topoisomerase (DNA) I pseudogene 1
OR6E1P		olfactory receptor, family 6, subfamily E, member 1 pseudogene
MIR6089	MIR6089-2|hsa-mir-6089-2|MIR6089-1|hsa-mir-6089-1	microRNA 6089
RHNO1	RHINO|MGC13204|HKMT1188|C12orf32	RAD9-HUS1-RAD1 interacting nuclear orphan 1|Rad9, Rad1, Hus1 interacting nuclear orphan
RBMY2MP		RNA binding motif protein, Y-linked, family 2, member M pseudogene
SMOC2	SMAP2	SPARC related modular calcium binding 2
LARGE	KIAA0609	like-glycosyltransferase
RNU1-34P		RNA, U1 small nuclear 34, pseudogene
TATDN3		TatD DNase domain containing 3
ZNF462	KIAA1803|DKFZP762N2316|Zfp462	zinc finger protein 462
AHCTF1	ELYS	AT hook containing transcription factor 1|ELYS transcription factor like protein TMBS62
SLC16A14	MCT14|FLJ30794	solute carrier family 16, member 14 (monocarboxylic acid transporter 14)|solute carrier family 16, member 14
KIF21B	KIAA0449|DKFZP434J212	kinesin family member 21B
RPL5P5		ribosomal protein L5 pseudogene 5
HMGB2	HMG2	high mobility group box 2
ZNF280A	3'OY11.1|SUHW1|ZNF280|ZNF636	zinc finger protein 280A
GLULP2	GLULL2	glutamate-ammonia ligase (glutamine synthetase) pseudogene 2
MTCL1P1	SOGA2P1|CCDC165P1	MTCL1 pseudogene 1
ZNF833P	ZNF833	zinc finger protein 833, pseudogene
WBSCR16		Williams-Beuren syndrome chromosome region 16
SUPT4H1P		SUPT4H1 pseudogene
CASP1P2		caspase 1, apoptosis-related cysteine peptidase pseudogene 2
CPLX4	CPX-IV	complexin 4
LYG2	LYGH	lysozyme G-like 2
PTGFRN	CD9P-1|EWI-F|CD315|FLJ11001|FPRP|SMAP-6|KIAA1436	prostaglandin F2 receptor inhibitor
RNU1-120P		RNA, U1 small nuclear 120, pseudogene
C10orf11	CDA017|OCA7	chromosome 10 open reading frame 11
TUBB3P1		tubulin, beta 3 class III pseudogene 1
ECM1P2		extracellular matrix protein 1 pseudogene 2
RN7SKP197		RNA, 7SK small nuclear pseudogene 197
SLC25A20	CACT|CAC	carnitine-acylcarnitine carrier|carnitine/acylcarnitine translocase|solute carrier family 25 (carnitine/acylcarnitine translocase), member 20
WNT2B	XWNT2|WNT13	XWNT2, Xenopus, homolog of|wingless-type MMTV integration site family, member 2B|wingless-type MMTV integration site family, member 13
SAP30BP	HCNGP|HTRG|HTRP	SAP30 binding protein
HECTD4	C12orf51|KIAA0614|FLJ34154	HECT domain containing E3 ubiquitin protein ligase 4
WDFY3-AS2	C4orf12|NCRNA00247|FBI4	WDFY3 antisense RNA 2
UFSP2	FLJ11200|C4orf20	UFM1-specific peptidase 2
H2AFJ	MGC921|FLJ10903	H2A histone family, member J
C1QTNF7	CTRP7	C1q and tumor necrosis factor related protein 7
ZBTB8OSP1		zinc finger and BTB domain containing 8 opposite strand pseudogene 1
PMS2P4	PMS6|PMS2L4	PMS2 pseudogene|postmeiotic segregation increased 2 pseudogene 4
TRP-AGG2-4	TRP2|TRNP1|TRNAP2	transfer RNA proline 2 (anticodon AGG)
ZBTB22	fruitless|ZBTB22A|BING1|ZNF297A|fru|ZNF297	zinc finger and BTB domain containing 22
DUSP13	DUSP13A|TMDP|BEDP|DUSP13B|FLJ32450	dual specificity phosphatase 13
KDELR3		KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3
SELENBP1	LPSB|hSBP|hSP56	selenium binding protein 1
ALG3P1		ALG3, alpha-1,3- mannosyltransferase pseudogene 1
CDH15	CDH14|CDH3	cadherin 15, type 1, M-cadherin (myotubule)
MIR219A2	MIRN219-2|MIR219-2|hsa-mir-219-2	microRNA 219-2|microRNA 219a-2
IGKV2D-19		immunoglobulin kappa variable 2D-19 (pseudogene)
UBE3D	YJR141W|C6orf157|DKFZp434A1520|UBE2CBP|H10BH	UBCH10 binding protein with a hect-like domain|ubiquitin protein ligase E3D
CYCSP19	HCP19	cytochrome c, somatic pseudogene 19
FAM223B	NCRNA00204B|LINC00204B|CXorf52B	family with sequence similarity 223, member B (non-protein coding)
AK8	FLJ32704|C9orf98	adenylate kinase 8
C1QTNF2	CTRP2	C1q and tumor necrosis factor related protein 2
FCRL4	IGFP2|CD307d|IRTA1|FCRH4	Fc receptor-like 4
TC2N	C14orf47|C2CD1|MTAC2D1|Tac2-N|FLJ36557	tandem C2 domains, nuclear|C2 calcium-dependent domain containing 1
RNU6-601P		RNA, U6 small nuclear 601, pseudogene
HMGB3P17		high mobility group box 3 pseudogene 17
SIL1	ULG5|MSS|BAP	SIL1 nucleotide exchange factor|SIL1 homolog, endoplasmic reticulum chaperone (S. cerevisiae)
MIR4514	hsa-mir-4514	microRNA 4514
REM1	GES|REM	GTPase GES|RAS (RAD and GEM)-like GTP-binding 1
TRSUP-CTA3-1	TRNASUP6P	transfer RNA suppressor 6 (anticodon CUA) pseudogene
ATG10-AS1		ATG10 antisense RNA 1
SLC10A5		solute carrier family 10, member 5|solute carrier family 10 (sodium/bile acid cotransporter family), member 5
RNU6-188P		RNA, U6 small nuclear 188, pseudogene
OR10V3P		olfactory receptor, family 10, subfamily V, member 3 pseudogene
RNF217-AS1	STL	
NMNAT1P2		NMNAT1 pseudogene 2
MIR151B	hsa-mir-151b	microRNA 151b
RNU6-388P		RNA, U6 small nuclear 388, pseudogene
NDUFC2-KCTD14		NDUFC2-KCTD14 readthrough
KDELR2	ERD2.2|ELP-1	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2
CDK5RAP2	CEP215|FLJ10867|MCPH3|C48	CDK5 regulatory subunit associated protein 2|microcephaly, primary autosomal recessive 3
MRPL35P4		mitochondrial ribosomal protein L35 pseudogene 4
SPTBN1		spectrin, beta, non-erythrocytic 1
RNU6-757P		RNA, U6 small nuclear 757, pseudogene
ANP32D	PP32R2	pp32 related 2|acidic (leucine-rich) nuclear phosphoprotein 32 family, member D
SRGAP3	SRGAP2|ARHGAP14|KIAA0411|WRP|MEGAP	SLIT-ROBO Rho GTPase activating protein 3
EIF2AK1	HRI|KIAA1369	eukaryotic translation initiation factor 2-alpha kinase 1|heme regulated initiation factor 2 alpha kinase
C10orf107	bA63A2.1|Em:AC022398.2|MGC44593	chromosome 10 open reading frame 107
RNU6-224P		RNA, U6 small nuclear 224, pseudogene
DEFB112	DEFB-12	defensin, beta 112
ACSL1	LACS|LACS2|LACS1|FACL2|ACS1|FACL1	lignoceroyl-CoA synthase|long-chain fatty-acid-coenzyme A ligase 1|acyl-CoA synthetase long-chain family member 1
CDK8PS		cyclin-dependent kinase 8 pseudogene
PRMT3	HRMT1L3	protein arginine methyltransferase 3
FBXO39	MGC35179|Fbx39|CT144	F-box protein 39
FBXO16	FBX16	F-box protein 16
LINC00594	C15orf36	long intergenic non-protein coding RNA 594
RPS20P18		ribosomal protein S20 pseudogene 18
INSL6	RIF1	insulin-like 6|relaxin/insulin-like factor 1
CCT8L1P	CCT8L1	chaperonin containing TCP1, subunit 8 (theta)-like 1, pseudogene
PIRC98		piwi-interacting RNA cluster 98
C17orf18		chromosome 17 open reading frame 18
RPL7P44		ribosomal protein L7 pseudogene 44
OR5J1P	HTPCRH02|OR5J1	olfactory receptor, family 5, subfamily J, member 1 pseudogene
PAQR9-AS1		
YIPF2	MGC3262|FinGER2	Yip1 domain family, member 2
NONOP1		non-POU domain containing, octamer-binding pseudogene 1
DCAF4L1	WDR21B	DDB1 and CUL4 associated factor 4-like 1
RNU6-339P		RNA, U6 small nuclear 339, pseudogene
MAFF	hMafF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)|v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog F
ATP6V1B2	HO57|Vma2|VPP3|VATB|ATP6B2	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2
OR52V1P		olfactory receptor, family 52, subfamily V, member 1 pseudogene
ZNF884P		zinc finger protein 884, pseudogene
ADRB2	BAR|ADRBR|B2AR|ADRB2R	adrenoceptor beta 2, surface
CUBNP2		cubilin (intrinsic factor-cobalamin receptor) pseudogene 2
TRNAN33		transfer RNA asparagine 33 (anticodon GUU)
